Class_ID, Name, Sample_Num, Flag
n000129, "Ahmet_Davutoglu", 585, 0
n000130, "Ahmet_Turk", 372, 1
n000131, "Ahmet_Cakar", 358, 1
n000132, "Ahn_Jae-wook", 334, 1
n000133, "Ahu_Tugba", 285, 1
n000134, "Ai_Fukuhara", 404, 1
n000135, "Ai_Kato", 158, 1
n000136, "Ai_Miyazato", 266, 1
n000137, "Ai_Sugiyama", 226, 1
n000138, "Ai_Takahashi", 304, 1
n000139, "Ai_Tominaga", 432, 1
n000140, "Ai-Ai_de_las_Alas", 446, 1
n000141, "Aiden_McGeady", 367, 1
n000142, "Aidan_Turner", 437, 1
n000143, "Aika_Oota", 258, 1
n000144, "Aimee_Mullins", 314, 1
n000145, "Aimee_Teegarden", 405, 1
n000146, "Aindrita_Ray", 312, 1
n000148, "Airi_Suzuki", 367, 0
n000149, "Aishwarya_Rai_Bachchan", 522, 0
n000150, "Aitana_Sanchez-Gijon", 446, 1
n000151, "Aitor_Karanka", 433, 1
n000152, "Aitor_Ocio", 392, 1
n000154, "Ajay_Devgan", 487, 1
n000155, "Ajay_Rochester", 291, 1
n000156, "Ajda_Pekkan", 358, 1
n000157, "Ajit_Pawar", 408, 1
n000158, "Akbar_Tandjung", 373, 1
n000159, "Akhilesh_Yadav", 494, 1
n000160, "Aki_Hoshino", 385, 1
n000161, "Akio_Toyoda", 379, 1
n000162, "Akkaphan_Namart", 292, 1
n000163, "Akkineni_Nagarjuna", 542, 1
n000164, "Aksel_Lund_Svindal", 375, 1
n000165, "Akshay_Oberoi", 289, 1
n000166, "Al_Bano_Carrisi", 400, 1
n000167, "Al_Franken", 417, 1
n000168, "Al_Golden", 289, 1
n000169, "Al_Jarreau", 328, 1
n000170, "Al_Murray", 384, 1
n000171, "Al_Roker", 459, 1
n000172, "Al_Sharpton", 484, 1
n000173, "Al-Farouq_Aminu", 286, 1
n000174, "Alain_Barriere", 280, 1
n000175, "Alain_Finkielkraut", 351, 1
n000176, "Alain_Juppe", 560, 1
n000177, "Alain_Minc", 266, 1
n000178, "Alain_Traore", 208, 0
n000179, "Alain_Vigneault", 388, 1
n000180, "Alaina_Huffman", 330, 1
n000181, "Alan_Carr", 399, 1
n000182, "Alan_Dzagoev", 280, 1
n000183, "Alan_Hutton", 314, 1
n000184, "Alan_Mulally", 416, 1
n000185, "Alan_Pardew", 554, 1
n000186, "Alan_Shearer", 500, 1
n000187, "Alan_Sugar", 376, 1
n000188, "Alana_Curry", 494, 1
n000189, "Alana_Nichols", 175, 1
n000190, "Alana_de_la_Garza", 346, 1
n000191, "Alassane_Ouattara", 385, 1
n000192, "Alastair_Cook", 518, 1
n000193, "Albert_Boadella", 271, 1
n000194, "Albert_Cartier", 193, 1
n000195, "Albert_Pujols", 300, 1
n000196, "Albert_Ramos", 188, 1
n000197, "Albert_Sosnowski", 323, 1
n000198, "Alberto_Del_Rio", 240, 1
n000199, "Alberto_Fujimori", 413, 1
n000201, "Alberto_Malesani", 277, 1
n000202, "Alberto_Nunez_Feijoo", 648, 1
n000203, "Alberto_Ruiz-Gallardon", 526, 1
n000204, "Alberto_San_Juan", 378, 1
n000205, "Albie_Casino", 418, 1
n000206, "Aldo_Rebelo", 368, 1
n000207, "Aldo_de_Nigris", 386, 1
n000208, "Alec_Burks", 276, 1
n000209, "Alecsandro", 363, 1
n000210, "Alejandra_Barros", 279, 1
n000211, "Alejandro_Chaban", 333, 1
n000212, "Alejandro_Escovedo", 312, 1
n000213, "Alejandro_Falla", 271, 1
n000214, "Alejandro_Fernandez", 486, 1
n000215, "Alejandro_Gonzalez_Inarritu", 440, 1
n000216, "Alejandro_Sabella", 371, 1
n000217, "Alejandro_Sanz", 439, 1
n000218, "Alejandro_Tous", 336, 1
n000219, "Alejo_Sauras", 365, 1
n000220, "Alek_Wek", 476, 1
n000221, "Aleks_Syntek", 371, 1
n000222, "Aleksandar_Mitrovic", 411, 1
n000223, "Aleksandar_Vucic", 506, 1
n000224, "Aleksandar_Sapic", 296, 1
n000225, "Aleksander_Kwasniewski", 623, 1
n000226, "Aleksandr_Kokorin", 247, 1
n000227, "Aleksandra_Kisio", 564, 1
n000228, "Aleksandra_Kwasniewska", 596, 1
n000229, "Aleksandra_Niespielak", 271, 1
n000230, "Aleksandra_Radovic", 272, 1
n000231, "Alela_Diane", 260, 1
n000232, "Alena_Zavarzina", 246, 1
n000233, "Alesana_Tuilagi", 311, 1
n000234, "Alesha_Dixon", 639, 1
n000235, "Alesia_Raut", 414, 1
n000236, "Alessandra_Amoroso", 481, 1
n000237, "Alessandra_Facchinetti", 230, 1
n000238, "Alessandra_Mastronardi", 474, 1
n000239, "Alessandra_Mussolini", 330, 1
n000240, "Alessandra_Negrini", 396, 1
n000241, "Alessandro_Del_Piero", 548, 1
n000242, "Alessandro_Nesta", 437, 1
n000243, "Alessandro_Nivola", 436, 1
n000244, "Alessandro_Profumo", 334, 1
n000245, "Alessandro_Safina", 299, 1
n000246, "Alessandro_Sartori", 228, 1
n000247, "Alessia_Filippi", 213, 1
n000248, "Alessia_Marcuzzi", 518, 1
n000249, "Alessio_Boni", 392, 1
n000250, "Alessio_Cerci", 415, 1
n000251, "Alex_Aniston", 308, 1
n000252, "Alex_Atala", 300, 1
n000253, "Alex_Cora", 113, 1
n000254, "Alex_Ebert", 332, 1
n000255, "Alex_Ferguson", 580, 1
n000256, "Alex_Fevola", 207, 1
n000257, "Alex_Gaskarth", 520, 1
n000258, "Alex_Gibney", 230, 1
n000259, "Alex_Gonzaga", 431, 0
n000260, "Alex_Lundqvist", 474, 1
n000261, "Alex_Meneses", 328, 1
n000262, "Alex_Morgan", 433, 1
n000263, "Alex_Noerdin", 308, 1
n000264, "Alex_OLoughlin", 438, 1
n000265, "Alex_Oxlade-Chamberlain", 499, 1
n000266, "Alex_Salmond", 677, 1
n000267, "Alex_Song", 352, 1
n000268, "Alex_Turner", 479, 1
n000269, "Alex_van_Warmerdam", 238, 1
n000270, "Alexa_Chung", 720, 1
n000271, "Alexa_Ray_Joel", 503, 1
n000272, "Alexa_Vega", 398, 1
n000273, "Alexander_Dale_Oen", 246, 1
n000274, "Alexander_Dobrindt", 462, 1
n000275, "Alexander_Fehling", 433, 1
n000276, "Alexander_Gerst", 318, 1
n000277, "Alexander_Klaws", 491, 1
n000278, "Alexander_Majorov", 199, 1
n000279, "Alexander_Merkel", 206, 1
n000280, "Alexander_Morozevich", 284, 1
n000281, "Alexander_Payne", 345, 1
n000282, "Alexander_Skarsgard", 588, 1
n000283, "Alexandr_Dolgopolov", 326, 1
n000284, "Alexandra_Edenborough", 344, 0
n000285, "Alexandra_Kamp", 388, 1
n000286, "Alexandra_Lamy", 442, 1
n000287, "Alexandra_Lara", 422, 1
n000288, "Alexandra_Neldel", 430, 1
n000289, "Alexandra_Paul", 327, 1
n000290, "Alexandra_Socha", 211, 1
n000291, "Alexandra_Wentworth", 336, 1
n000292, "Alexandre_Bilodeau", 389, 1
n000293, "Alexandre_Gallo", 222, 1
n000294, "Alexandre_Lacazette", 349, 1
n000295, "Alexandre_Pato", 398, 1
n000296, "Alexei_Kudrin", 276, 1
n000297, "Alexis_Bledel", 499, 1
n000298, "Alexis_Georgoulis", 242, 1
n000299, "Alexis_Jordan", 397, 1
n000300, "Alexis_Sanchez", 518, 1
n000301, "Alexis_Texas", 347, 1
n000302, "Alexis_Tsipras", 613, 1
n000303, "Alexis_Valdes", 174, 1
n000304, "Ales_Brichta", 272, 1
n000305, "Alfie_Allen", 438, 1
n000306, "Alfie_Boe", 459, 1
n000307, "Alfonso_Bassave", 320, 1
n000308, "Alfonso_Guerra", 328, 1
n000309, "Alfonso_Herrera", 462, 1
n000310, "Alfonso_Portillo", 319, 1
n000311, "Alfred_Biolek", 362, 1
n000312, "Alfred_Dorfer", 266, 1
n000313, "Alfred_Schreuder", 225, 1
n000314, "Alfredo_Perez_Rubalcaba", 617, 1
n000315, "Alfredo_Talavera", 278, 1
n000316, "Algirdas_Butkevicius", 497, 1
n000317, "Algirdas_Semeta", 191, 1
n000318, "Ali_Akbar_Salehi", 482, 1
n000319, "Ali_Bastian", 355, 1
n000320, "Ali_Krieger", 385, 1
n000321, "Ali_Michael", 381, 1
n000322, "Ali_al-Naimi", 327, 1
n000323, "Alia_Shawkat", 360, 1
n000324, "Alice_Bah_Kuhnke", 318, 1
n000325, "Alice_Beer", 254, 1
n000326, "Alice_Dellal", 529, 1
n000327, "Alice_Kim", 253, 1
n000328, "Alice_Sara_Ott", 240, 1
n000329, "Alice_Taglioni", 434, 1
n000330, "Alicia_Sacramone", 326, 1
n000331, "Alicia_Sanchez-Camacho", 510, 1
n000332, "Alicia_Vikander", 564, 1
n000333, "Alicja_Janosz", 350, 1
n000334, "Alicja_Rosolska", 262, 1
n000335, "Alie_Layus", 235, 1
n000336, "Aline_Weber", 296, 1
n000337, "Alinne_Moraes", 350, 1
n000338, "Alisar_Ailabouni", 311, 1
n000339, "Alisher_Usmanov", 242, 1
n000340, "Alison_Angel", 268, 1
n000341, "Alison_King", 436, 1
n000342, "Alison_Riske", 206, 1
n000343, "Alissa_Czisny", 346, 1
n000344, "Alissa_White-Gluz", 366, 1
n000345, "Alistair_Overeem", 436, 1
n000346, "Alka_Yagnik", 413, 1
n000347, "Alla_Pugacheva", 424, 1
n000348, "Allan_McGregor", 338, 1
n000349, "Allan_Wu", 209, 1
n000350, "Allari_Naresh", 442, 1
n000351, "Allegra_Versace", 448, 1
n000352, "Allen_Leech", 475, 1
n000353, "Allen_West", 285, 1
n000354, "Alley_Mills", 370, 1
n000355, "Allison_Holker", 384, 1
n000356, "Allison_Iraheta", 387, 1
n000357, "Allison_Mack", 414, 1
n000358, "Ally_McCoist", 519, 1
n000359, "Allyson_Felix", 455, 1
n000360, "Alma_Muriel", 154, 1
n000361, "Almazbek_Atambayev", 386, 1
n000362, "Almir_Sater", 234, 1
n000363, "Alodia_Gosiengfiao", 505, 0
n000364, "Alois_Hadamczik", 269, 1
n000365, "Alona_Tal", 377, 1
n000366, "Alonzo_Bodden", 241, 1
n000367, "Altair_Jarabo", 393, 1
n000368, "Alun_Wyn_Jones", 382, 1
n000369, "Alvin_Stardust", 342, 1
n000370, "Aly_Cissokho", 254, 1
n000371, "Alysia_Montano", 282, 1
n000372, "Alysia_Reiner", 435, 1
n000373, "Alyson_Hannigan", 408, 1
n000374, "Alyson_Stoner", 392, 1
n000375, "Alysson_Paradis", 327, 1
n000376, "Amaia_Salamanca", 433, 1
n000377, "Amala_Akkineni", 473, 1
n000378, "Amala_Paul", 530, 1
n000379, "Amanda_Beard", 357, 1
n000380, "Amanda_Byram", 452, 1
n000381, "Amanda_Crew", 301, 1
n000382, "Amanda_Jenssen", 308, 1
n000383, "Amanda_Knox", 400, 1
n000384, "Amanda_Miguel", 276, 1
n000385, "Amanda_Palmer", 273, 1
n000386, "Amanda_Redman", 329, 1
n000387, "Amanda_Righetti", 442, 1
n000388, "Amanda_Schull", 315, 1
n000389, "Amar_Ghoul", 255, 1
n000390, "Amar_Osim", 205, 1
n000391, "Amare_Stoudemire", 425, 1
n000392, "Amauri", 353, 1
n000393, "Amaury_Vassili", 332, 1
n000394, "Amber_Brkich", 242, 0
n000395, "Amber_Heard", 605, 1
n000396, "Amber_Lancaster", 307, 1
n000397, "Amber_Le_Bon", 539, 1
n000398, "Amber_Stevens", 273, 1
n000399, "Amber_Valletta", 538, 1
n000400, "Ambrose_Akinmusire", 238, 1
n000401, "Amel_Bent", 392, 1
n000402, "Amelia_Vega", 351, 1
n000403, "Amelle_Berrabah", 495, 1
n000405, "America_Olivo", 404, 1
n000406, "Amerie", 434, 1
n000407, "Ami_James", 304, 1
n000408, "Ami_Trivedi", 275, 1
n000409, "Amien_Rais", 362, 1
n000410, "Amina_Shafaat", 199, 0
n000411, "Amira_Casar", 466, 1
n000412, "Amit_Sadh", 434, 1
n000413, "Amit_Shah", 437, 1
n000414, "Amjad_Ali_Khan", 356, 1
n000415, "Amr_Shabana", 335, 1
n000416, "Amrinder_Gill", 299, 1
n000417, "Amruta_Khanvilkar", 393, 1
n000418, "Amy_Acker", 422, 1
n000419, "Amy_Adams", 689, 1
n000420, "Amy_Brenneman", 452, 1
n000421, "Amy_Diamond", 387, 1
n000422, "Amy_Dumas", 415, 1
n000423, "Amy_Fisher", 222, 1
n000424, "Amy_Gumenick", 207, 1
n000425, "Amy_Huberman", 454, 1
n000426, "Amy_Paffrath", 402, 1
n000427, "Amy_Pascal", 315, 1
n000428, "Amy_Robach", 373, 1
n000429, "Amy_Smart", 491, 1
n000430, "Amy_Tan", 231, 1
n000431, "Amy_Van_Dyken", 255, 1
n000432, "Amy_Williams", 255, 1
n000433, "Amy_Yang", 213, 1
n000434, "Amelie_Mauresmo", 470, 1
n000435, "Amelie_Nothomb", 420, 1
n000436, "An_Jeong-hwan", 200, 1
n000437, "An_Lemmens", 175, 1
n000438, "Ana_Beatriz_Barros", 556, 1
n000439, "Ana_Carolina_da_Fonseca", 191, 1
n000440, "Ana_Claudia_Talancon", 433, 1
n000441, "Ana_Duato", 474, 1
n000442, "Ana_Gabriel", 322, 1
n000443, "Ana_Girardot", 379, 1
n000444, "Ana_Hickmann", 385, 1
n000445, "Ana_Layevska", 344, 1
n000446, "Ana_Lucia_Dominguez", 397, 1
n000447, "Ana_Milan", 397, 1
n000448, "Ana_Moura", 252, 1
n000449, "Ana_Patricia_Botin", 366, 1
n000450, "Ana_Paula_Arosio", 412, 1
n000451, "Ana_Paula_Padrao", 364, 1
n000452, "Ana_Rosa_Quintana", 454, 0
n000453, "Ana_Serradilla", 349, 1
n000454, "Ana_Torroja", 331, 1
n000455, "Ana_Turpin", 263, 1
n000456, "Ana_de_la_Reguera", 481, 1
n000457, "Anahi_de_Cardenas", 281, 1
n000458, "Analeigh_Tipton", 386, 1
n000459, "Anand_Mahindra", 443, 1
n000460, "Ananda_Lewis", 378, 1
n000461, "Ananya", 341, 1
n000462, "Anastacia", 455, 1
n000463, "Anastasia_Volochkova", 384, 1
n000464, "Anastasia_Zampounidis", 373, 1
n000465, "Anais_Demoustier", 436, 1
n000466, "Anders_Anundsen", 336, 1
n000467, "Anders_Fannemel", 367, 1
n000468, "Anders_Osborne", 217, 1
n000469, "Anderson_Cooper", 476, 1
n000470, "Anderson_Pico", 157, 1
n000471, "Anderson_Varejao", 373, 1
n000472, "Andie_MacDowell", 658, 1
n000473, "Andien", 364, 1
n000474, "Andranik_Teymourian", 252, 1
n000475, "Andre_Berto", 351, 1
n000476, "Andre_Iguodala", 435, 1
n000477, "Andre_Miller", 302, 1
n000478, "Andre_Ward", 390, 1
n000479, "Andrea_Agnelli", 427, 1
n000480, "Andrea_Anders", 312, 0
n000481, "Andrea_Bargnani", 348, 1
n000482, "Andrea_Berg", 461, 1
n000483, "Andrea_Bocelli", 383, 1
n000484, "Andrea_Corr", 463, 1
n000485, "Andrea_Del_Boca", 453, 1
n000486, "Andrea_Elisabeth_Rudolph", 215, 1
n000487, "Andrea_Frigerio", 341, 1
n000488, "Andrea_Jeremiah", 411, 1
n000489, "Andrea_Kaiser", 338, 1
n000490, "Andrea_Mandorlini", 338, 1
n000491, "Andrea_McLean", 502, 1
n000492, "Andrea_Mitchell", 359, 1
n000493, "Andrea_Morassi", 102, 1
n000494, "Andrea_Nahles", 475, 1
n000495, "Andrea_Osvart", 443, 1
n000496, "Andrea_Parker", 293, 1
n000497, "Andrea_Pirlo", 492, 1
n000498, "Andrea_Ranocchia", 415, 1
n000499, "Andrea_Rincon", 280, 1
n000500, "Andrea_Sawatzki", 477, 1
n000501, "Andrea_Serna", 374, 1
n000502, "Andrea_Tantaros", 335, 1
n000503, "Andrea_Veresova", 441, 1
n000504, "Andrea_Ypsilanti", 297, 1
n000505, "Andrea_Susnjara", 256, 1
n000506, "Andreas_Birnbacher", 207, 1
n000507, "Andreas_Dresen", 273, 1
n000508, "Andreas_Gabalier", 517, 1
n000509, "Andreas_Jancke", 218, 1
n000510, "Andreas_Lundstedt", 391, 1
n000511, "Andreas_Pietschmann", 350, 1
n000512, "Andreas_Pinkwart", 248, 1
n000513, "Andreas_Scheuer", 345, 1
n000514, "Andreas_Seppi", 287, 1
n000515, "Andreea_Mitu", 203, 1
n000516, "Andrei_Arlovski", 366, 1
n000517, "Andrei_Kirilenko", 350, 1
n000518, "Andrew_Bynum", 376, 1
n000519, "Andrew_Fifita", 313, 1
n000520, "Andrew_Flintoff", 497, 1
n000521, "Andrew_Lincoln", 402, 1
n000522, "Andrew_Lloyd_Webber", 414, 1
n000524, "Andrew_Strauss", 387, 1
n000525, "Andrew_Symonds", 212, 1
n000526, "Andrew_Trimble", 388, 1
n000527, "Andrew_Upton", 329, 0
n000528, "Andrew_VanWyngarden", 447, 1
n000529, "Andrew_W.K.", 373, 1
n000530, "Andrew_Zimmern", 408, 1
n000531, "Andrey_Amador", 224, 1
n000532, "Andrey_Arshavin", 479, 1
n000533, "Andrey_Golubev", 173, 1
n000534, "Andris_Nelsons", 294, 1
n000535, "Andriy_Shevchenko", 442, 1
n000536, "Andrzej_Lepper", 363, 1
n000537, "Andrzej_Piaseczny", 494, 1
n000538, "Andre_3000", 424, 1
n000539, "Andre_Ayew", 433, 1
n000540, "Andre_Balazs", 391, 1
n000541, "Andre_Breitenreiter", 385, 1
n000542, "Andre_Kuipers", 312, 1
n000543, "Andre_Manoukian", 363, 1
n000544, "Andre_Rieu", 511, 1
n000545, "Andre_Schurrle", 514, 1
n000546, "Andre_Segatti", 240, 1
n000547, "Andre_Villas-Boas", 531, 1
n000548, "Andre-Pierre_Gignac", 444, 1
n000549, "Andres_Calamaro", 425, 1
n000550, "Andres_Guardado", 453, 1
n000551, "Andres_Iniesta", 463, 1
n000552, "Andres_Manuel_Lopez_Obrador", 435, 1
n000553, "Andres_Nocioni", 364, 1
n000554, "Andres_Velencoso", 564, 1
n000555, "Andy_Allo", 265, 1
n000556, "Andy_Belsak", 141, 1
n000557, "Andy_Borg", 461, 1
n000558, "Andy_Burnham", 548, 1
n000559, "Andy_Carroll", 359, 1
n000560, "Andy_Lau", 516, 1
n000561, "Andy_Reid", 406, 1
n000562, "Andy_Roddick", 431, 1
n000563, "Aneta_Kreglicka", 545, 1
n000564, "Aneta_Langerova", 428, 1
n000565, "Aneta_Todorczuk-Perchuc", 372, 1
n000566, "Angel_Locsin", 430, 1
n000567, "Angel_Porrino", 365, 1
n000568, "Angela_Bassett", 540, 1
n000569, "Angela_Gheorghiu", 472, 1
n000570, "Angela_Gossow", 283, 1
n000571, "Angela_Groothuizen", 343, 1
n000573, "Angela_Martini", 393, 1
n000574, "Angela_Rippon", 431, 1
n000575, "Angela_Sarafyan", 294, 1
n000576, "Angela_Similea", 317, 1
n000577, "Angela_Simmons", 631, 1
n000578, "Angela_Yee", 406, 1
n000579, "Angelababy", 481, 1
n000580, "Angelica_Bengtsson", 248, 1
n000581, "Angelica_Celaya", 292, 1
n000582, "Angelica_Panganiban", 391, 1
n000583, "Angelika_Jakubowska", 262, 1
n000584, "Angelique_Kerber", 374, 1
n000585, "Angelique_Morgan", 222, 1
n000586, "Angelo_Mathews", 332, 1
n000587, "Angelo_Scola", 429, 1
n000588, "Angham", 329, 1
n000589, "Angie_Cepeda", 393, 1
n000590, "Angie_Chiu", 287, 1
n000591, "Angie_Everhart", 443, 1
n000592, "Angie_Motshekga", 257, 1
n000593, "Angie_Stone", 321, 1
n000594, "Angus_Deayton", 354, 1
n000595, "Angy_Fernandez", 397, 1
n000596, "Angelique_Kidjo", 357, 0
n000597, "Anifah_Aman", 360, 1
n000598, "Anil_Kapoor", 551, 1
n000599, "Anish_Giri", 387, 1
n000600, "Anita_Dobson", 446, 1
n000601, "Anita_Doth", 254, 1
n000602, "Anita_Gorbicz", 344, 1
n000603, "Anita_Hassanandani", 425, 1
n000604, "Anita_Lipnicka", 343, 1
n000605, "Anita_Meyer", 211, 1
n000606, "Anita_Sokolowska", 541, 1
n000607, "Anita_Wlodarczyk", 408, 1
n000608, "Anja_Kling", 360, 1
n000609, "Anjala_Zaveri", 241, 1
n000610, "Anjali", 363, 1
n000611, "Anjana_Sukhani", 386, 1
n000612, "Anjelah_Johnson", 300, 1
n000613, "Anjelica_Huston", 452, 1
n000614, "Anke_Engelke", 489, 1
n000615, "Anke_Huber", 221, 1
n000616, "Ann_Curry", 454, 1
n000618, "Anna_Bligh", 403, 1
n000619, "Anna_Chakvetadze", 334, 1
n000620, "Anna_Chlumsky", 497, 1
n000621, "Anna_Finocchiaro", 311, 1
n000622, "Anna_Hutchison", 256, 1
n000623, "Anna_Julia_Kapfelsperger", 244, 1
n000624, "Anna_Kalata", 446, 0
n000625, "Anna_Karczmarczyk", 393, 1
n000626, "Anna_Karina", 340, 1
n000627, "Anna_Kinberg_Batra", 411, 1
n000628, "Anna_Komorowska", 622, 1
n000629, "Anna_Loos", 472, 1
n000630, "Anna_Maria_Muhe", 514, 1
n000631, "Anna_Meares", 337, 1
n000632, "Anna_Mouglalis", 508, 1
n000633, "Anna_Mucha", 653, 1
n000634, "Anna_Nalick", 248, 1
n000635, "Anna_Nordqvist", 270, 1
n000636, "Anna_Puu", 233, 1
n000637, "Anna_Selezneva", 549, 1
n000638, "Anna_Tatangelo", 412, 1
n000639, "Anna-Maria_Zimmermann", 380, 1
n000640, "AnnaLynne_McCord", 595, 1
n000641, "Annabelle_Mandeng", 468, 1
n000642, "Anne_Consigny", 305, 1
n000643, "Anne_Curtis", 453, 1
n000644, "Anne_Dudek", 303, 1
n000645, "Anne_Heche", 514, 1
n000646, "Anne_Hidalgo", 501, 1
n000647, "Anne_Igartiburu", 440, 1
n000648, "Anne_Kirkbride", 323, 1
n000649, "Anne_Kukkohovi", 209, 1
n000650, "Anne_Lauvergeon", 366, 1
n000651, "Anne_Linnet", 218, 1
n000652, "Anne_Robinson", 336, 1
n000653, "Anne_Roumanoff", 361, 1
n000654, "Anne_Schedeen", 200, 0
n000655, "Anne_Sinclair", 263, 1
n000656, "Anne_Veski", 300, 1
n000657, "Anne_Vyalitsyna", 382, 1
n000658, "Anne,_Princess_Royal", 440, 0
n000659, "Anne-Marie_Duff", 491, 0
n000660, "Anne-Sophie_Briest", 385, 1
n000661, "Anne-Sophie_Lapix", 445, 1
